date,weekday,source_of_truth,gcatholic_celebration_name,romcal_celebration_name,validation_reason,review_notes
2023-05-10,Wednesday,Wednesday of the 5th Week of Easter,null,John Of Avila Priest,Source of truth: Wednesday of the 5th Week of Easter; GCatholic: missing; Romcal: John Of Avila Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-12,Friday,Friday of the 5th Week of Easter,null,Nereus Of Terracina And Achilleus Of Terracina Martyrs,Source of truth: Friday of the 5th Week of Easter; GCatholic: missing; Romcal: Nereus Of Terracina And Achilleus Of Terracina Martyrs.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-13,Saturday,Saturday of the 5th Week of Easter,null,Our Lady Of Fatima,Source of truth: Saturday of the 5th Week of Easter; GCatholic: missing; Romcal: Our Lady Of Fatima.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-18,Thursday,Thursday of the 6th Week of Easter,null,Ascension,Source of truth: Thursday of the 6th Week of Easter; GCatholic: missing; Romcal: Ascension.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-20,Saturday,Saturday of the 6th Week of Easter,null,Bernardine Of Siena Priest,Source of truth: Saturday of the 6th Week of Easter; GCatholic: missing; Romcal: Bernardine Of Siena Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-21,Sunday,The Ascension of the Lord,null,Easter Time 7 Sunday,Source of truth: The Ascension of the Lord; GCatholic: missing; Romcal: Easter Time 7 Sunday.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-22,Monday,Monday of the 7th Week of Easter,null,Rita Of Cascia Religious,Source of truth: Monday of the 7th Week of Easter; GCatholic: missing; Romcal: Rita Of Cascia Religious.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-25,Thursday,Thursday of the 7th Week of Easter,null,Bede The Venerable Priest,Source of truth: Thursday of the 7th Week of Easter; GCatholic: missing; Romcal: Bede The Venerable Priest.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-27,Saturday,Saturday of the 7th Week of Easter,null,Augustine Of Canterbury Bishop,Source of truth: Saturday of the 7th Week of Easter; GCatholic: missing; Romcal: Augustine Of Canterbury Bishop.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-05-31,Wednesday,The Visitation of the Blessed Virgin Mary,null,Visitation Of Mary,Source of truth: The Visitation of the Blessed Virgin Mary; GCatholic: missing; Romcal: Visitation Of Mary.,Source of truth did not match GCatholic or Romcal; needs human review.
2023-06-01,Thursday,"Our Lord Jesus Christ, the Eternal High Priest",null,Justin Martyr,"Source of truth: Our Lord Jesus Christ, the Eternal High Priest; GCatholic: missing; Romcal: Justin Martyr.",Source of truth did not match GCatholic or Romcal; needs human review.
